"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"WWP1",0.796230700150189,6.46721097553371,13.6058509242931,6.58459655693196e-37,2.30576601751967e-36,72.160349173711
"S100A13",-1.13679925923019,4.814904307604,-13.600021726907,6.99756589806274e-37,2.44983967527169e-36,72.1239568669885
"RHOF",-1.17923007903079,1.42004765138745,-13.5985210021164,7.10799824629832e-37,2.48795546873068e-36,72.6596333045589
"SHMT2",0.871862076212568,6.07529235276101,13.5982066226739,7.13135124267456e-37,2.49558153256273e-36,72.1278566965521
"MXD1",-0.748934830993088,3.96887100475622,-13.5923660222854,7.57937949278933e-37,2.65178466011988e-36,72.2080165233724
"SEPT8",-0.597088801550703,5.64257819610323,-13.5900916250305,7.76133814715058e-37,2.71485034157517e-36,71.9755098437276
"RPL10",0.672489239161504,11.077024197639,13.5893570964572,7.82102741112962e-37,2.73512893666973e-36,72.0843214184457
"STAMBP",0.483000157883605,5.77329736848022,13.587985312758,7.93372867832046e-37,2.77393365063453e-36,72.01956741517
"CTTN",-0.396804824572037,8.11460168098822,-13.5879020125784,7.94062422685276e-37,2.77573574947441e-36,71.9608468197977
"RIPK2",1.15764324114074,4.72040561888127,13.5869213652722,8.02225206584243e-37,2.80365485484605e-36,72.2817972526173
"RBM12",0.595654268393981,6.47559999446304,13.5864732382561,8.05983138882586e-37,2.81617080968619e-36,71.9455257842895
"AGO2",-0.890864627384932,5.49312777440581,-13.5849333271495,8.19030819151157e-37,2.86113330205335e-36,71.9187349276603
"WDR92",0.492455281000466,3.55679562525763,13.5834991149264,8.31372111640147e-37,2.90360899639438e-36,72.3617411734766
"TNK2",-0.847521388874123,6.66786297041765,-13.5816151133586,8.47865787252799e-37,2.96056531189696e-36,71.8557903738137
"TIMP2",-1.26721982648883,7.92851720715087,-13.5729815870427,9.27718074831961e-37,3.23868289812121e-36,71.8245558591103
"LAMTOR3",0.485564559501251,5.74520279143864,13.5702203994623,9.54805208041362e-37,3.33235003293849e-36,71.8388606969849
"TGFBR3",-1.30612466413954,5.01175439412026,-13.5702041363004,9.54967060882248e-37,3.33235003293849e-36,71.7824500294787
"C11orf52",1.40788946992171,4.56245434514996,13.5697531881736,9.59465852046929e-37,3.34731575435064e-36,72.170535993544
"CLTCL1",-1.10922485983609,3.25093677441033,-13.5674096515449,9.8318790752175e-37,3.42932499910212e-36,72.0464740108316
"CA4",-2.07966920479944,0.317304503305116,-13.566243799374,9.95205806796209e-37,3.47048360541054e-36,72.381170930639
"GUSB",0.856573054649406,6.71258204526107,13.5656274771136,1.00161803609804e-36,3.4920803795719e-36,71.7282937859768
"TCEAL7",-1.46682399025297,1.4402327597009,-13.5580955843703,1.08338608737107e-36,3.77633374867588e-36,72.2165272387269
"MEX3D",0.965898098380292,4.72637887573846,13.5545021603409,1.12470781080565e-36,3.91951082296505e-36,71.914913442334
"POPDC2",-1.45283390413818,3.57082932428055,-13.5537960896007,1.1330098221959e-36,3.94757957722461e-36,71.8050204924537
"TIMP3",-1.35455662121325,8.15280472331005,-13.5532968588095,1.13891661977198e-36,3.96721480644612e-36,71.6337999514994
"UBE2M",0.716351938040699,6.10177393541612,13.5532777624325,1.13914317246574e-36,3.96721480644612e-36,71.6438094877819
"SORBS1",-1.98595122066196,6.90210503280111,-13.5515678480543,1.15961206731244e-36,4.03761825097428e-36,71.5790948067438
"ARL5A",0.808346235938751,5.61987924804224,13.5499381372746,1.17946181975178e-36,4.10583564246417e-36,71.6832906898398
"FASN",1.48601603489554,9.96245470064699,13.548646230845,1.19543739346633e-36,4.16053974931293e-36,71.5837973038536
"PLEKHA2",-1.07493640365364,4.4527457790057,-13.5482638908878,1.20020657934716e-36,4.17622634245662e-36,71.6329955062863
"TTLL11",-0.599165370796569,2.11588271926538,-13.5477310767021,1.20688436414344e-36,4.19854578010618e-36,72.0937631510178
"CTSO",0.934947258051134,6.02343875385571,13.5470827087115,1.21506033958902e-36,4.2260662913046e-36,71.6086764453722
"SOD1",0.655890860534722,7.67661152880024,13.5467190140207,1.21967069558205e-36,4.24117602259553e-36,71.5002482017547
"MARVELD3",1.71218643980105,4.50073891304542,13.5464604629998,1.22295879883532e-36,4.25168227992039e-36,71.9738670951722
"DDT",1.09933959677207,6.55632839806664,13.5415580603439,1.28700314280009e-36,4.47336024776134e-36,71.5075992309012
"FST",-1.65803713611134,2.81550667419278,-13.5414374014003,1.2886208469127e-36,4.47800660557847e-36,71.7995445614156
"WWC3",-0.615771814012011,5.52472080573477,-13.5405803703131,1.30016972093849e-36,4.51715461023529e-36,71.4694623328069
"EFCAB1",-1.95204758805782,0.982365386238253,-13.5404927334426,1.30135646264161e-36,4.52029244160104e-36,72.0520734012659
"MRPL49",0.431840595440674,6.23946227153906,13.540310875937,1.30382254513308e-36,4.52787175804384e-36,71.4737352761393
"ZNF24",0.694402326329448,6.83484262733711,13.5384433887804,1.32941761330916e-36,4.61575185278765e-36,71.4315469565897
"DNAJA2",0.418748820760309,6.33499029053062,13.5332578365148,1.40314395966689e-36,4.87066958124787e-36,71.392728372076
"GCA",0.829353923411025,4.36404246157326,13.5330682918341,1.40591466696589e-36,4.87922486205884e-36,71.7404113501335
"CD320",1.22696639657335,6.11524226106445,13.5315570425664,1.42820153377361e-36,4.955492478962e-36,71.4700164675865
"UNC119",-0.573842987620855,4.98108808692854,-13.5294677835067,1.45959329832184e-36,5.06331168122961e-36,71.4129428469713
"NDUFS6",1.07359637923185,5.90655429488299,13.5285408612817,1.4737398431547e-36,5.11127352042774e-36,71.4527855058551
"UBL5",0.840051639559011,6.72577913654558,13.5244251323943,1.53822159264817e-36,5.3337507476206e-36,71.2992493376542
"COA6",0.972165625316068,4.14739447343424,13.5239344172292,1.54609487903239e-36,5.35988524832019e-36,71.7091762630021
"TTC4",-0.424153827304739,4.64335547825257,-13.5225113974285,1.56915430065437e-36,5.43864308598186e-36,71.4072144089432
"HSBP1",0.692236145574007,6.8698710171681,13.5192458930671,1.62337395284756e-36,5.62534365399784e-36,71.2307304451557
"ADGRE2",-1.4406941371426,1.53341808258079,-13.5174088198274,1.65469251898777e-36,5.73262307165072e-36,71.7821794191248
"CCL18",4.0374939007826,0.168545422642106,13.5149838577931,1.69695702275772e-36,5.87776943562757e-36,72.0810452195352
"TDP1",0.672487335152709,3.8637398000674,13.514605356328,1.70365024591925e-36,5.89967084943578e-36,71.6177090008169
"GRAMD4",-1.33407155749448,4.11359106156174,-13.5145757075812,1.7041756484341e-36,5.90020847872275e-36,71.3133612745473
"ALG5",0.874996143487673,5.08292769014374,13.5113594740659,1.76213938783429e-36,6.09956608948503e-36,71.3891573490648
"DDX47",-0.497424523360043,5.37772827885487,-13.5111131615002,1.76665862833683e-36,6.11388157526901e-36,71.1842879065983
"NMD3",0.555936728259384,5.75958648082861,13.5088628500895,1.80848476116878e-36,6.25727091231395e-36,71.2082641682603
"NT5E",-1.35996526763603,3.45993561666768,-13.5071216354514,1.84152418167568e-36,6.370203006925e-36,71.3458516904402
